"id","coin_id","date","one_day_trend","day_perc_diff","one_week_trend","symbol_count","name_count","coin_id_count","sentiment_score","social_dominance"
20608924,"ethereum","2024-11-09","162","5.682216766047001","149.14285714285714",2293,720,3013,"NaN","0.0006386577207952932"
20545880,"brett","2024-11-08","-32","-48.484848484848484","0.8571428571428571",34,34,34,"NaN","4.836344503060624e-06"
20557320,"uniswap","2024-11-08","33","4.860088365243005","72.57142857142857",55,657,712,"NaN","0.00010127874371115188"
20553661,"pepe","2024-11-08","31","15.422885572139302","14.285714285714286",232,232,232,"NaN","3.300093896206073e-05"
20548416,"ethereum","2024-11-08","-442","-13.422411175220164","99.71428571428571",1831,1020,2851,"NaN","0.0004055417111242894"
20552703,"neiro","2024-11-08","25","37.3134328358209","9.142857142857142",92,92,92,"NaN","1.3086579243575805e-05"
20547785,"dogecoin","2024-11-08","-37","-9.226932668329177","27.571428571428573",309,55,364,"NaN","5.1777335268060793e-05"
20472608,"ethereum","2024-11-07","-240","-6.793093688083782","185.42857142857142",2231,1062,3293,"NaN","0.0005597901050596662"
20481514,"uniswap","2024-11-07","-247","-26.673866090712746","67.57142857142857",68,611,679,"NaN","0.00011542589776359349"
20470069,"brett","2024-11-07","12","22.22222222222222","6.857142857142857",66,66,66,"NaN","1.1219601255371383e-05"
20471976,"dogecoin","2024-11-07","-458","-53.317811408614666","19.857142857142858",336,65,401,"NaN","6.816757732430189e-05"
20477853,"pepe","2024-11-07","-165","-45.08196721311475","10.428571428571429",201,201,201,"NaN","3.416878564135831e-05"
20476895,"neiro","2024-11-07","34","103.03030303030303","6.142857142857143",67,67,67,"NaN","1.1389595213786101e-05"
20370894,"neiro","2024-11-06","4","13.793103448275861","-0.8571428571428571",33,33,33,"NaN","5.185388643307486e-06"
20365975,"dogecoin","2024-11-06","398","86.33405639913232","65.28571428571429",680,179,859,"NaN","0.00013497723771518577"
20364068,"brett","2024-11-06","44","440.00000000000006","5.714285714285714",54,54,54,"NaN","8.485181416321341e-06"
20366607,"ethereum","2024-11-06","1512","74.8144482929243","167.71428571428572",2364,1169,3533,"NaN","0.0005551508508122833"
20371852,"pepe","2024-11-06","183","100","25.142857142857142",366,366,366,"NaN","5.751067404395575e-05"
20375513,"uniswap","2024-11-06","605","188.4735202492212","86.42857142857143",143,783,926,"NaN","0.00014550514799099187"
20306055,"ethereum","2024-11-05","76","3.9074550128534704","-61.285714285714285",1443,578,2021,"NaN","0.00047390697728951473"
20314961,"uniswap","2024-11-05","-20","-5.865102639296188","2.857142857142857",37,284,321,"NaN","7.527171682827028e-05"
20310342,"neiro","2024-11-05","6","26.08695652173913","-0.5714285714285714",29,29,29,"NaN","6.800248560809464e-06"
20305423,"dogecoin","2024-11-05","201","77.3076923076923","6.285714285714286",378,83,461,"NaN","0.00010810050298390217"
20303516,"brett","2024-11-05","-5","-33.33333333333333","-2.142857142857143",10,10,10,"NaN","2.3449132968308497e-06"
20311300,"pepe","2024-11-05","-6","-3.1746031746031744","6.285714285714286",183,183,183,"NaN","4.291191333200455e-05"
20245509,"ethereum","2024-11-04","-65","-3.233830845771144","96.14285714285714",1212,733,1945,"NaN","0.00036416742339845907"
20250751,"pepe","2024-11-04","-32","-14.479638009049776","15",189,189,189,"NaN","3.538696299347494e-05"
20242976,"brett","2024-11-04","-5","-25","0.5714285714285714",15,15,15,"NaN","2.8084891264662654e-06"
20254407,"uniswap","2024-11-04","39","12.91390728476821","34.285714285714285",21,320,341,"NaN","6.384631947499977e-05"
20244877,"dogecoin","2024-11-04","44","20.37037037037037","5",194,66,260,"NaN","4.8680478192081935e-05"
20249799,"neiro","2024-11-04","-3","-11.538461538461538","-6",23,23,23,"NaN","4.306349993914941e-06"
20185129,"ethereum","2024-11-03","41","2.082275266632809","80",1377,633,2010,"NaN","0.00042621660455072105"
