id,coin_id,one_day_trend,day_perc_diff,one_week_trend,symbol_count,name_count,coin_id_count,sentiment_score,social_dominance,block_number
13672523,dogecoin,-161,-16.5467625899,80.57142857142857,796,16,812,0,0.0004714527,17009900
13673184,ethereum,-1052,-30.7692307692,94.42857142857143,1771,596,2367,0,0.0013742963,17009910
13681945,uniswap,353,188.7700534759,15.571428571428571,16,524,540,0,0.0003135277,17009920
13670664,brett,34,377.7777777778,0.14285714285714285,43,43,43,0,2.49661e-05,17009930
13678328,pepe,-8,-4.6242774566,-93.42857142857143,165,165,165,0,9.58001e-05,17009940
13747181,dogecoin,198,24.3842364532,109.71428571428571,983,27,1010,0,0.0004677567,17009950
13745321,brett,156,362.7906976744,23.714285714285715,199,199,199,0,9.2162e-05,17009960
13756611,uniswap,-132,-24.4444444444,-1.4285714285714286,9,399,408,0,0.0001889552,17009970
13752990,pepe,125,75.7575757576,10.142857142857142,290,290,290,0,0.0001343064,17009980
13747839,ethereum,-137,-5.7879171948,101.28571428571429,1734,496,2230,0,0.0010327698,17009990
13822429,ethereum,328,14.7085201794,163,2120,438,2558,0,0.0015180414,17010000
13827580,pepe,-118,-40.6896551724,-5.142857142857143,172,172,172,0,0.0001020732,17010010
13821771,dogecoin,178,17.6237623762,36.57142857142857,1172,16,1188,0,0.0007050169,17010020
13819911,brett,-118,-59.2964824121,9,81,81,81,0,4.80693e-05,17010030
13831201,uniswap,-70,-17.1568627451,-10.285714285714286,22,316,338,0,0.0002005856,17010040
13894501,brett,-3,-3.7037037037,7.142857142857143,78,78,78,0,5.72625e-05,17010050
13897019,ethereum,-631,-24.6677091478,19.285714285714285,1392,535,1927,0,0.0014146784,17010060
13905791,uniswap,133,39.349112426,-7.571428571428571,17,454,471,0,0.0003457777,17010070
13896361,dogecoin,-356,-29.9663299663,-13.142857142857142,812,20,832,0,0.0006108004,17010080
13902170,pepe,2,1.1627906977,2,174,174,174,0,0.0001277395,17010090
13969144,brett,-57,-73.0769230769,-1.4285714285714286,21,21,21,0,9.4109e-06,17010100
13971004,dogecoin,229,27.5240384615,17,1038,23,1061,0,0.0004754767,17010110
13976808,pepe,-33,-18.9655172414,-13.428571428571429,141,141,141,0,6.31878e-05,17010120
13980424,uniswap,112,23.7791932059,-1.2857142857142858,13,570,583,0,0.0002612657,17010130
13971662,ethereum,1354,70.2646600934,155.14285714285714,2226,1055,3281,0,0.0014703477,17010140
14040040,uniswap,-90,-15.4373927959,-4.142857142857143,13,480,493,0,0.0002847535,17010150
14028760,brett,-3,-14.2857142857,-10.857142857142858,18,18,18,0,1.03967e-05,17010160
14031278,ethereum,-352,-10.7284364523,-25.857142857142858,1817,1112,2929,0,0.0016917708,17010170
14036424,pepe,52,36.8794326241,-14.142857142857142,193,193,193,0,0.0001114755,17010180
14030620,dogecoin,-862,-81.2441093308,-124.28571428571429,160,39,199,0,0.0001149411,17010190
14075332,dogecoin,127,63.8190954774,-92.42857142857143,306,20,326,0,0.0001743437,17010200
14075990,ethereum,529,18.0607715944,5.571428571428571,2322,1136,3458,0,0.0018493264,17010210
14084752,uniswap,288,58.4178498986,84.85714285714286,34,747,781,0,0.0004176761,17010220
14081136,pepe,-33,-17.0984455959,-1.8571428571428572,160,160,160,0,8.55674e-05,17010230
14073472,brett,81,450,12.857142857142858,99,99,99,0,5.29449e-05,17010240
14155809,pepe,12,7.5,1,172,172,172,0,9.80652e-05,17010250
14150651,ethereum,-813,-23.5106998265,39.714285714285715,1809,836,2645,0,0.0015080368,17010260
14148125,brett,-9,-9.0909090909,6.714285714285714,90,90,90,0,5.13132e-05,17010270
14149990,dogecoin,-151,-46.3190184049,-91,157,18,175,0,9.97756e-05,17010280
14159433,uniswap,-97,-12.4199743918,20.571428571428573,30,654,684,0,0.00038998,17010290
14230489,pepe,25,14.5348837209,-13.285714285714286,197,197,197,0,0.0001209912,17010300
14225331,ethereum,-1071,-40.4914933837,-93.71428571428571,1066,508,1574,0,0.000966701,17010310
14234113,uniswap,-279,-40.7894736842,-0.42857142857142855,24,381,405,0,0.0002487382,17010320
14224670,dogecoin,-81,-46.2857142857,-130.85714285714286,75,19,94,0,5.77318e-05,17010330
14222805,brett,-78,-86.6666666667,-26.714285714285715,12,12,12,0,7.37e-06,17010340
14349049,neiro,0,0,0,164,164,164,0,0.0001008848,17010350
14300011,ethereum,-551,-35.0063532402,-219.28571428571428,762,261,1023,0,0.0006292995,17010360
14305169,pepe,326,165.4822335025,50.142857142857146,523,523,523,0,0.000321724,17010370
14297485,brett,28,233.3333333333,-5.857142857142857,40,40,40,0,2.4606e-05,17010380
14299350,dogecoin,-31,-32.9787234043,-160.71428571428572,48,15,63,0,3.87545e-05,17010390
14308793,uniswap,-91,-22.4691358025,-3.4285714285714284,9,305,314,0,0.0001931574,17010400
14374781,ethereum,683,66.7644183773,-31.571428571428573,1151,555,1706,0,0.0009935356,17010410
14383567,uniswap,170,54.1401273885,1.8571428571428572,19,465,484,0,0.0002818706,17010420
14378989,neiro,15,9.1463414634,0,179,179,179,0,0.0001042455,17010430
14372258,brett,-1,-2.5,-5.571428571428571,39,39,39,0,2.27127e-05,17010440
